EQUIPE asuwant
INSTANCE 16
6 9
15 15
12 38
8 18
5 3
23 13
5 16
17 45
8 33
0 35
0 22
21 27
12 8
6 43
15 37
21 10
18 14
22 39
23 22
17 24
23 1
1 26
14 41
4 15
0 4
21 47
16 0
7 42
0 32
22 5
19 12
18 35
6 28
18 20
11 17
12 23
14 31
3 42
3 23
24 29
14 7
11 28
24 24
17 40
20 6
24 44
23 32
22 9
14 22
5 38
22 18
5 24
13 4
18 26
2 49
24 2
10 0
13 47
2 6
22 45
13 27
7 12
2 9
5 34
21 21
19 42
2 31
2 17
1 36
21 18
9 13
9 35
8 36
20 28
24 37
13 17
24 34
11 36
23 44
10 30
2 14
20 36
14 34
16 33
4 49
19 19
16 29
10 49
14 11
9 25
0 47
5 19
2 27
22 7
5 2
17 46
1 41
6 25
4 43
13 38
23 49
8 9
13 6
21 31
13 43
7 47
2 3
0 0
24 14
14 42
13 29
12 46
23 15
24 8
15 44
0 30
4 0
23 24
1 48
1 45
17 10
9 3
24 6
16 17
10 45
12 33
9 29
3 46
5 10
4 37
1 12
