EQUIPE asuwant
INSTANCE 15
1 16
13 25
9 6
5 21
10 40
21 21
15 7
18 34
17 41
13 14
0 48
23 3
8 5
6 15
1 0
18 3
12 33
2 4
22 48
0 20
13 44
2 35
17 8
0 27
20 14
16 18
5 7
24 29
20 27
22 2
12 9
19 23
7 26
0 36
14 39
2 44
11 4
15 32
6 22
23 33
23 45
20 17
8 49
21 23
10 30
3 39
16 9
16 48
21 12
1 49
14 17
14 13
8 44
16 46
17 1
4 14
0 10
20 43
11 29
23 22
24 36
12 49
23 38
2 31
22 40
11 32
11 18
3 7
8 10
9 18
4 45
3 27
16 0
6 27
23 49
5 31
3 18
7 1
13 39
17 31
4 17
3 11
1 42
7 47
21 34
18 4
24 32
9 38
9 42
14 35
16 40
23 16
14 25
19 46
11 36
18 18
13 47
11 24
5 36
13 20
0 28
15 44
11 16
22 9
9 47
3 29
0 12
0 4
16 30
6 2
15 22
20 22
1 33
20 39
12 43
4 30
19 14
24 24
16 26
17 49
5 6
24 4
24 39
10 21
24 34
7 7
10 11
20 36
18 27
1 36
0 23
21 19
10 48
24 18
5 9
19 29
15 19
13 28
1 1
19 12
