EQUIPE asuwant
INSTANCE 15
1 16
13 25
9 6
5 21
21 21
15 7
13 41
18 34
13 14
10 40
0 48
23 3
8 5
6 15
18 3
12 33
2 4
22 48
13 44
5 0
2 35
0 20
20 14
17 9
16 18
0 27
24 29
22 2
20 27
19 23
14 4
12 9
10 26
2 44
0 36
23 45
23 33
22 17
21 23
21 12
19 48
17 42
15 36
14 17
14 13
8 49
8 44
7 7
6 22
3 39
1 49
1 8
24 36
23 38
23 22
22 40
20 46
20 4
17 46
17 0
16 8
14 49
14 39
11 32
11 29
11 18
8 17
7 31
7 27
2 31
24 32
22 19
21 34
19 31
16 40
14 26
12 2
11 36
10 12
9 42
9 38
7 47
6 11
5 45
4 18
4 14
3 27
3 9
1 44
0 10
24 49
24 41
24 34
24 24
24 18
24 8
24 1
23 16
23 9
21 43
21 39
20 45
20 36
20 22
19 29
19 20
19 18
19 12
18 30
18 27
17 49
17 45
16 35
16 32
16 26
16 19
15 44
15 22
14 28
13 47
13 23
13 20
12 43
12 10
11 48
11 16
10 30
10 21
9 47
9 19
8 1
7 37
6 29
6 9
6 6
4 30
3 33
3 29
3 21
2 28
2 24
2 12
2 5
2 1
1 38
