EQUIPE asuwant
INSTANCE 15
1 16
9 6
13 25
5 15
10 40
15 3
21 21
0 48
12 34
13 41
1 0
11 14
17 7
23 2
2 4
0 20
0 35
5 7
6 11
9 21
13 44
18 30
22 48
0 27
8 5
12 8
16 18
19 14
1 44
2 36
14 13
15 33
16 9
19 23
20 3
20 27
21 12
24 24
1 46
3 39
6 27
7 49
8 42
10 29
11 4
14 17
14 39
16 48
17 36
20 42
21 23
22 33
0 8
2 31
4 14
4 22
7 31
11 9
11 32
11 49
12 0
12 46
20 17
22 1
23 22
23 29
23 38
23 45
2 24
2 26
3 7
3 17
3 47
4 45
5 2
5 36
7 24
8 11
9 18
9 38
14 24
14 35
16 40
17 27
17 45
18 4
19 45
19 49
21 31
21 39
23 16
24 36
0 4
0 12
0 18
0 37
0 42
1 1
1 32
3 29
4 0
4 4
4 23
4 30
5 9
7 7
7 30
7 44
7 48
9 40
9 46
10 14
10 20
10 28
10 43
10 48
11 18
11 21
11 34
12 20
13 12
13 22
13 28
15 19
15 32
15 41
16 20
16 26
17 29
17 31
18 43
19 11
20 12
20 19
20 21
21 40
22 9
23 8
23 18
23 32
24 34
24 39
