EQUIPE asuwant
INSTANCE 16
6 3
12 38
15 15
5 18
5 9
8 22
23 10
0 35
8 33
17 45
6 43
12 8
21 27
0 24
4 15
14 14
14 24
14 37
18 22
22 39
0 4
0 26
18 13
23 1
7 42
15 35
16 0
21 45
0 42
1 32
6 28
9 16
11 41
12 23
13 5
14 31
17 26
21 9
3 23
5 38
10 27
11 17
14 7
16 6
16 12
17 40
22 19
23 29
23 41
0 9
2 6
2 17
2 30
2 45
5 24
5 34
7 12
10 0
12 30
13 47
17 20
18 36
19 42
20 32
21 18
21 21
22 0
22 47
23 24
0 46
1 24
1 49
2 13
2 38
4 47
7 36
8 13
9 25
9 35
10 49
11 36
13 17
13 34
16 25
16 33
17 8
18 28
21 3
21 37
22 9
23 19
24 28
24 33
24 40
0 0
0 12
2 2
2 31
2 46
3 0
4 10
4 25
4 37
4 43
4 49
5 2
6 29
8 6
9 3
9 45
11 6
11 26
11 32
11 46
12 22
12 25
12 29
13 36
14 42
14 44
16 17
16 46
17 19
20 4
20 26
20 34
22 7
22 49
23 8
23 15
24 5
24 14
24 19
