EQUIPE asuwant
INSTANCE 9
0 2
0 4
0 9
0 18
0 20
0 22
0 23
0 33
0 40
0 45
0 46
0 49
1 2
1 3
1 7
1 13
1 15
1 19
1 23
1 30
2 26
2 28
2 34
2 39
2 42
3 11
4 7
4 25
4 30
5 15
5 21
5 24
5 38
5 42
5 46
6 9
6 19
6 27
7 11
7 43
7 48
8 10
8 17
8 20
8 22
8 30
8 33
8 38
9 3
9 8
9 18
9 29
9 31
9 36
10 25
11 1
11 23
11 41
12 0
12 14
13 11
13 17
13 18
13 22
13 32
13 42
13 49
14 10
14 35
14 40
14 45
14 48
15 49
16 7
16 18
16 27
16 46
17 0
17 2
17 6
17 17
17 26
18 5
18 30
19 1
19 10
19 23
19 29
19 35
19 43
19 47
20 15
20 32
20 34
21 3
21 31
21 42
22 2
22 5
22 24
23 9
24 37
