EQUIPE asuwant
INSTANCE 11
0 0
0 4
0 5
0 9
0 21
0 23
0 33
0 35
0 37
0 44
0 48
1 18
1 31
1 40
1 49
2 12
2 17
2 42
3 16
3 20
3 41
3 46
4 3
4 19
5 9
5 29
5 30
5 39
5 41
5 47
6 8
7 29
7 43
7 46
8 3
8 12
8 14
8 17
8 41
8 42
9 5
9 28
9 34
9 37
9 42
9 48
10 2
10 23
10 27
11 1
11 15
11 16
11 19
11 21
11 22
11 26
12 25
12 45
13 17
14 9
14 25
14 31
14 43
14 44
15 0
15 8
15 12
15 36
15 40
15 46
16 6
16 13
16 38
17 0
17 1
17 4
17 5
17 27
17 47
17 49
18 7
18 10
18 18
19 3
19 16
19 17
20 0
20 47
21 8
22 16
22 19
22 43
23 18
23 28
23 48
24 31
