EQUIPE asuwant
INSTANCE 16
0 0
0 3
0 4
0 6
0 9
0 12
0 14
0 16
0 17
0 20
0 22
0 24
0 26
0 28
0 30
0 32
0 34
0 35
0 36
0 37
0 38
0 41
0 42
0 46
0 49
1 13
1 24
1 44
1 45
1 48
2 2
2 6
2 23
2 29
2 31
2 46
3 0
3 8
3 15
3 20
3 26
3 28
3 38
3 40
3 43
3 44
4 6
4 10
4 14
4 16
4 18
4 19
4 25
4 33
4 34
4 37
4 43
4 47
4 48
4 49
5 2
5 5
5 7
5 9
5 13
5 22
5 24
5 30
5 32
5 38
5 42
6 1
6 11
6 28
6 29
6 38
6 46
7 0
7 12
7 26
7 27
7 32
7 36
8 4
8 6
8 11
8 13
8 17
8 21
8 23
8 25
8 27
8 36
8 37
8 41
8 49
9 3
9 21
9 33
9 35
9 45
10 2
10 20
10 27
10 28
10 30
10 33
10 36
10 38
10 48
11 6
11 7
11 13
11 14
11 16
11 26
11 32
11 36
11 39
11 41
11 43
11 46
12 1
12 3
12 4
12 5
12 12
12 14
12 15
12 20
12 22
12 25
12 29
12 37
12 45
13 11
13 17
13 31
13 33
13 34
13 36
13 47
14 11
14 13
14 16
14 21
14 24
14 28
14 36
14 39
14 42
14 44
15 0
15 9
15 10
15 20
15 25
15 26
15 35
15 48
16 0
16 6
16 17
16 24
16 29
16 30
16 33
16 43
16 46
17 8
17 18
17 19
17 38
17 40
17 43
18 1
18 8
18 18
18 22
18 32
18 34
18 36
18 40
18 42
19 27
19 31
19 40
19 45
20 4
20 16
20 20
20 21
20 23
20 26
20 34
20 38
20 39
21 1
21 2
21 3
21 8
21 11
21 12
21 15
21 17
21 25
21 29
21 30
21 33
21 37
21 44
21 46
21 47
22 0
22 7
22 9
22 17
22 19
22 20
22 22
22 24
22 32
22 41
22 43
22 49
23 8
23 15
23 19
23 27
23 28
23 41
23 44
24 5
24 14
24 19
24 33
24 40
