EQUIPE asuwant
INSTANCE 10
0 4
0 6
0 11
0 12
0 17
0 24
0 25
0 27
0 31
0 36
0 38
0 45
1 35
1 40
1 44
1 48
2 15
2 30
2 39
3 1
3 3
3 10
3 22
3 35
4 0
4 18
4 20
4 21
4 27
5 1
5 34
5 42
6 25
6 26
6 49
7 5
7 20
7 31
7 35
7 38
8 2
8 12
8 23
8 28
8 29
9 5
10 4
10 28
10 32
10 36
11 1
11 24
11 39
11 41
11 44
11 47
12 9
12 17
12 19
12 23
13 2
13 40
14 7
14 17
14 22
14 36
15 24
16 11
16 27
16 34
17 20
17 22
17 30
17 43
17 45
17 48
18 21
19 3
19 6
19 9
19 10
19 14
19 17
19 33
19 37
19 46
20 12
20 13
20 32
20 39
21 24
21 44
22 16
22 23
24 40
