EQUIPE asuwant
INSTANCE 13
0 1
0 3
0 4
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 17
0 18
0 19
0 20
0 21
0 22
0 23
0 24
0 25
0 26
0 27
0 28
0 30
0 31
0 32
0 33
0 35
0 36
0 37
0 38
0 39
0 40
0 41
0 42
0 43
0 44
0 45
0 47
0 48
1 0
1 2
1 16
2 31
2 34
2 49
3 9
3 16
3 23
3 28
3 29
3 30
4 0
4 5
4 6
4 8
4 11
4 37
4 46
5 10
5 13
5 17
6 33
6 43
7 12
7 32
7 38
8 31
8 35
8 37
8 47
8 48
9 2
9 3
9 14
9 15
9 27
9 34
10 2
10 7
10 12
10 33
10 35
10 36
10 40
11 0
11 11
11 27
11 32
11 42
11 45
11 47
12 6
12 18
12 19
12 22
12 23
12 26
12 49
13 9
13 48
14 4
14 5
14 17
14 35
15 0
15 1
15 3
16 2
16 8
17 0
17 7
17 32
17 35
17 39
18 12
18 20
18 23
18 28
18 31
19 11
19 13
19 15
19 19
19 26
19 42
20 11
20 14
20 25
21 2
21 16
21 36
21 38
22 0
22 15
22 41
22 48
23 10
23 20
24 0
24 18
