EQUIPE asuwant
INSTANCE 15
0 0
0 4
0 5
0 6
0 8
0 10
0 12
0 13
0 15
0 16
0 17
0 18
0 19
0 20
0 23
0 24
0 26
0 27
0 28
0 34
0 35
0 36
0 37
0 41
0 42
0 43
0 44
0 46
0 47
0 48
0 49
1 0
1 1
1 3
1 7
1 10
1 32
1 33
1 40
2 30
2 31
2 33
2 38
2 39
3 7
3 11
3 13
3 15
3 17
3 19
3 21
3 24
3 25
3 29
3 38
3 47
4 0
4 1
4 4
4 14
4 16
4 22
4 23
4 30
4 44
4 45
5 0
5 2
5 7
5 9
5 12
5 14
5 15
5 26
5 29
5 31
5 36
5 49
6 11
6 27
6 42
7 5
7 7
7 8
7 24
7 30
7 35
7 44
7 46
7 48
8 0
8 6
8 10
8 11
8 12
8 14
8 34
8 38
8 42
9 5
9 17
9 24
9 29
9 31
9 40
9 46
10 14
10 16
10 20
10 28
10 32
10 36
10 39
10 43
10 48
11 2
11 3
11 4
11 9
11 14
11 18
11 21
11 23
11 34
11 35
11 46
11 48
11 49
12 0
12 8
12 13
12 20
12 29
12 33
12 37
12 42
12 44
12 46
13 12
13 17
13 20
13 22
13 24
13 26
13 28
13 37
13 38
13 41
13 44
14 1
14 3
14 7
14 10
14 16
14 31
14 33
14 35
14 36
15 0
15 9
15 19
15 30
15 32
15 37
15 41
15 48
16 6
16 16
16 18
16 20
16 24
16 26
16 37
16 39
16 40
16 44
16 48
17 1
17 5
17 23
17 27
17 29
17 31
17 36
17 44
18 2
18 4
18 12
18 18
18 21
18 26
18 29
18 33
18 43
19 11
19 14
19 17
19 23
19 39
19 45
19 48
19 49
20 0
20 3
20 12
20 17
20 19
20 21
20 26
20 27
20 32
20 41
20 42
21 10
21 14
21 16
21 23
21 25
21 31
21 34
21 39
21 40
21 48
22 0
22 4
22 5
22 9
22 29
22 33
22 36
22 38
22 44
22 45
22 46
23 0
23 8
23 14
23 18
23 20
23 22
23 24
23 28
23 32
23 38
23 42
24 24
24 34
24 36
24 39
