EQUIPE asuwant
INSTANCE 14
0 0
0 1
0 2
0 4
0 6
0 7
0 8
0 10
0 11
0 12
0 13
0 14
0 16
0 17
0 18
0 20
0 21
0 22
0 23
0 24
0 25
0 27
0 28
0 29
0 32
0 33
0 34
0 35
0 36
0 38
0 39
0 40
0 41
0 42
0 43
0 44
0 48
1 4
1 5
1 20
1 26
1 45
2 3
2 8
2 9
2 19
2 49
3 7
3 28
3 31
3 34
3 37
3 47
4 0
4 1
5 30
5 41
6 7
6 10
6 11
6 15
6 22
6 27
6 34
6 43
6 46
7 0
7 6
7 14
7 21
7 35
7 36
7 38
8 20
8 39
8 41
8 49
9 5
9 13
9 19
10 2
10 4
10 11
10 24
10 36
11 1
11 18
11 20
11 47
12 0
12 3
12 8
12 24
13 15
13 17
13 26
13 29
13 35
14 0
14 20
14 25
15 19
15 30
15 33
15 37
15 38
16 0
16 2
16 24
16 32
16 40
16 48
17 0
17 4
17 21
17 23
18 6
18 18
18 20
18 38
18 39
19 5
19 28
20 16
20 26
20 29
21 9
21 25
21 30
21 44
22 0
22 8
22 35
24 4
24 21
24 26
